GeographyKey,CustomerName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Education,Occupation,NumberCarsOwned,Address,AddressLine1,PhoneNumber,DateFirstPurchase
5,Wright A James,10/21/2013,Married,Male,james7@ymail.com,70000,Bachelors,Professional,1,8478 Eastgate Ave.,8478 Eastgate Ave.,+7265550143,10/21/2013
6,Watson Hailey,2/8/2013,Married,Female,hailey15@ymail.com,40000,High School,Skilled Manual,2,9658 Guadalupe Dr.,9658 Guadalupe Dr.,+3335550115,2/8/2013
1,Ramirez Bryce,10/30/2013,Married,Male,bryce6@zmail.com,40000,High School,Skilled Manual,3,387 Glenside Court,387 Glenside Court,+7655550164,10/30/2013
6,Ross Kaitlyn,11/23/2013,Married,Female,kaitlyn71@ymail.com,40000,High School,Skilled Manual,2,8391 Olivera,8391 Olivera,+6835550152,11/23/2013
6,Phillips Jason,10/6/2013,Married,Male,jason35@ymail.com,40000,High School,Skilled Manual,2,2369 Whitehaven Dr.,2369 Whitehaven Dr.,+8685550157,10/6/2013
6,Patterson Natalie,11/5/2013,Married,Female,natalie33@ymail.com,40000,High School,Skilled Manual,2,2777 Spring Hill Drive,2777 Spring Hill Drive,+8585550113,11/5/2013
6,Murphy Eduardo,11/18/2013,Married,Male,eduardo82@ymail.com,40000,High School,Skilled Manual,2,3032 Smoking Tree Court,3032 Smoking Tree Court,+5955550145,11/18/2013
6,Ward Destiny,12/13/2013,Married,Female,destiny38@ymail.com,60000,Partial College,Skilled Manual,1,3935 Hawkins Street,3935 Hawkins Street,+1415550193,12/13/2013
6,Seamans Mike,9/11/2013,Single,Female,mike5@ymail.com,40000,Bachelors,Professional,1,4678 Cardinal Dr.,4678 Cardinal Dr.,+2105550100,9/11/2013
1,Romero Albert,11/5/2013,Single,Male,albert11@zmail.com,40000,Bachelors,Professional,1,45 Linton Terr.,45 Linton Terr.,+4445550178,11/5/2013
